Nama Makanan,Ukuran Porsi,Kalori (kkal),Karbohidrat (g),Lemak (g),Protein (g)
bagelen kering rasa keju,100 g,500,60,25,10
singles light kurang lemak,100 g,205.88,5.88,11.76,17.65
tahu,100 g,78,2.1,4.95,7.97
tahu kukus,100 g,78,1.93,4.34,7.97
oseng tahu,100 g,232,9.42,18.64,10.19
sup tahu,100 g,63,4.09,3,5.02
tahu kuning,100 g,80,0.8,4.7,10.9
tahu cabe garam,100 g,153,23.22,3.33,7.89
tahu kecap,100 g,144,9.03,9.06,9.37
tahu bakso,100 g,167,27,3,8
tahu aci,100 g,217,18.18,14.07,6.39
tahu telur tomat,100 g,100,5,8,8
tahu putih,100 g,120,3.33,7.33,10.67
egg tofu,100 g,70,1,7,5
tahu original,100 g,110,2,7,10
tahu susu,100 g,89.74,1.28,5.13,8.97
tahu bakar,100 g,118,4.04,7.08,12.06
pepes tahu jamur,100 g,103,5.87,5.95,8.38
tahu gejrot,100 g,98,1.81,8.04,6.05
tofu tempe delight,100 g,168,4,12.67,10.67
seafood tofu,100 g,200,10,16,8
tahu sutra silken tofu,100 g,115,2,8,9
agedashi tofu,100 g,100,8,5,5
sapo tahu,100 g,76,1.63,4,8.3
tofu telur,100 g,71.43,4.29,2.14,10
chicken tofu,100 g,400,7.5,25,35
tahu sutera,100 g,110,6,5,10
morinu silken tofu organic,100 g,52.94,1.18,2.35,4.71
sotong tahu bulat,100 g,346,50.72,14.02,4.55
japanese silken tofu,100 g,115,2,8,9
silken tofu,100 g,80,2.4,3.2,10.4
mangkok tahu,100 g,710,6,65,26
silken egg tofu,100 g,130,4,7,12
tofu telur ayam,100 g,85.71,2.86,4.29,10
tofu rasa udang,100 g,85.71,0,4.29,10
tahu sutera telur,100 g,130,4,7,12
tahu kocek,100 g,203,10.11,14.04,13.19
kembang tahu,100 g,380,23.3,13.8,48.9
mapo tofu with mushroom szechuan sauce,100 g,103.85,3.08,6.15,9.23
kung pao fish with yang chow fried rice,100 g,189.2,18.8,5.2,16.8
tofu telur veggie,100 g,85.71,4.29,4.29,8.57
tempe,100 g,193,9.39,10.8,18.54
tempe rebus,100 g,196,9.35,11.38,18.19
tempe orek,100 g,175,15.6,8.2,13.11
tempe mendoan,100 g,200,12.69,12.78,11.18
tempe balado,100 g,242,11.47,17.05,14.69
tempe kecap,100 g,189,11.06,12.09,12.02
oseng buncis tempe,100 g,210,32.3,6.45,7.94
tempe penyet,100 g,198,12.84,11.43,15.68
keripik tempe,100 g,534,58.41,31.92,5.15
tempe gembus,100 g,65,12.11,0.2,3.46
steak tempe,100 g,179,13.99,9.25,11.76
buncis orek tempe,100 g,211.11,12.22,13.33,8.89
tempe chips original,100 g,560,50,30,15
krumpe,100 g,500,55,25,15
keripik tempe rasa tempe orek,100 g,550,35,35,25
tempeh chips spicy balado,100 g,560,52,36,12
tempe rasa original,100 g,550,40,35,20
tempe chips sour cream,100 g,560,48,32,16
tempe chips,100 g,266.47,33.88,11.53,8.76
tempe chicken onion,100 g,550,60,30,10
tempe himalayan salt,100 g,600,46.67,40,13.33
yc nasi yummy daging sapi suwir,100 g,181.48,25.93,6.3,5.19
fish ma la xiang guo with salted fish fried rice kungpao tempe,100 g,433,45,13,32
semur telur,100 g,130,5.27,7.81,9.7
maklor,100 g,225,25.07,10.07,8.2
putih telur,100 g,52,0.73,0.17,10.9
telur puyuh rebus,100 g,157,0.41,11.05,13
telur tomat,100 g,82,4.02,4.66,5.65
telur ceplok,100 g,92,0.4,7.04,6.27
telur rebus,100 g,452.94,3.29,31.06,36.82
telur kukus,100 g,144,3.26,7.85,14.26
telur ayam kampung,100 g,140,1.67,9,13.67
martabak,100 g,315,40.6,14.65,8.15
quail egg,100 g,162.5,0.88,12.25,12.5
martabak telur,100 g,185,18.52,7.68,9.9
fu yung hai,100 g,131,3.61,9.71,7.55
telur,100 g,174,1.2,14,10.8
telur omega,100 g,100,1,6,4
telur ayam omega,100 g,150,1.67,10,11.67
gudeg original,100 g,190,10,12,11
healthy japanese chicken ramen korean mayak egg,100 g,468,48,12,42
kacang telur,100 g,560,52,36,4
telur ayam negeri rendah kolestrol,100 g,158.73,0,14.29,11.11
telur pitan,100 g,171,5.1,11,12.15
kuning telur,100 g,322,3.59,26.54,15.86
nasi goreng spesial,100 g,230,22,13,7
aice chocolate,100 g,90,14,4,2
nata de coco,100 g,66.67,16.44,0,0
telur asin,100 g,214.06,1.69,15.98,14.86
roti martabak,100 g,247,29.91,8.65,11.74
salad selada dengan telur keju tomat dan atau wortel,100 g,52,3.14,3.14,3.33
telur dadar atau telur orakarik dengan daging babi asap,100 g,184,1.48,13.05,14.22
ayam bawang telur,100 g,480.52,58.44,23.38,7.79
pengganti telur cair,100 g,84,0.64,3.31,12
sayur campuran,100 g,60,13.09,0.15,2.86
sayur campur tumis,100 g,120,0,0,0
sayuran rebus tanpa daging,100 g,56,9.73,0.97,2.65
sayur bening bayam,100 g,36,7.64,0.37,1.79
sayuran campur matang jagung kacang lima kacang polong kacang hijau dan wortel,100 g,81,12.74,2.12,2.78
sayur tahu toge,100 g,86,12.91,1.93,5.93
sayur nangka,100 g,66,8.7,3.5,1.3
sayur pakis,100 g,34,5.54,0.4,4.55
sayur toge,100 g,114,0,0,3.4
bumbu racik sayur asem,100 g,312.5,75,0,12.5
sayur gedi,100 g,51,10,0.88,3.06
panzerotti dengan sayuran dan keju,100 g,250,18.19,16.74,6.75
jus campuran sayuran sayuran lain selain tomat,100 g,7100,1493,59,367
siomay ayam sayur,100 g,195.4,25.29,5.75,9.2
prenagen buah dan sayur,100 g,42.42,11.82,0,0
promina sup mi ayam sayur,100 g,425,62.5,15,12.5
bumbu sayur asem,100 g,250,42.86,3.57,0
jus sayur koktail kalengan,100 g,4600,1101,22,152
sup ayam dan sayur dengan volume air yang sama kalengan,100 g,7500,858,284,362
sup mi daging sayur,100 g,464.29,64.29,16.07,12.5
pengganti krim cair,100 ml,138,11.54,10.11,1.01
krekers sayur,100 g,500,70,20,10
ikan layur,100 g,88,0.38,1.02,18.04
mandu isi daging dan sayur,100 g,200,26,8,8
sayuran campur beku,100 g,64,13.46,0.52,3.33
lontong isi sayur,100 g,139,23.22,4.12,2.39
bumbu kuah sayur sop,100 g,200,40,0,0
bumbu kuah sayur asem,100 g,312.5,75,0,0
sup krim sayur bawang,100 g,400,66.67,6.67,6.67
tuna dalam minyak sayur,100 g,150,1,6,22
sayur brongkos,100 g,142,12.21,3.67,14.87
bumbu racik sayur lodeh,100 g,200,40,0,0
risol sayur,100 g,208,25.15,10.03,4.64
bumbu racik sayur sop,100 g,200,20,0,20
malkist sayur,100 g,500,65,20,10
sayur umbut kelapa,100 g,67,5.18,2.89,5.57
sup mi ayam sayur,100 g,444.44,66.67,14.81,12.96
sup sayuran,100 g,446.15,61.54,16.92,9.23
makaroni rasa sup sayuran,100 g,325,67.5,1.25,12.5
bayam dimasak dari segar,100 g,40,3.68,2.25,2.88
bayam,100 g,23,3.63,0.39,2.86
tumis bayam,100 g,86,4.68,6.81,3.3
keripik bayam,100 g,537,49.22,36.48,3.06
bayam dimasak dari beku lemak tidak ditambahkan dalam masakan,100 g,32,5.13,0.5,3.99
bayam cincang atau daun beku,100 g,31,4.33,0.75,3.94
green delight,100 ml,40,9.2,0,0.4
daily greens,100 ml,36,8.8,0,0
bayam brazil,100 g,23,3.63,0.39,2.86
mie bayam,100 g,370,82,0,11
spinach noodle,100 g,370,82,0,11
sun bubur ayam kampung bayam,100 g,400,75,5,10
tropic green,100 ml,48,11.2,0,0.8
daging dan kulit sayap ayam ayam pedaging,100 g,14.22,0,1.03,1.18
kuahkaldu ayam kalengan,100 g,79,5.42,5.71,1.93
salad ayam,100 g,132,7.31,4.94,14.5
ayam penyet,100 g,199,5.29,8.53,25.05
taquitos dengan ayam,100 g,245,19.02,12.63,14.49
koloke ayam,100 g,261,17.9,9.52,24.09
tumis kangkung,100 g,98,3.99,8.71,2.56
kangkung,100 g,20,3.18,0.34,2.51
brokoli dimasak dari segar,100 g,54,6.98,2.69,2.3
brokoli,100 g,34,6.64,0.37,2.82
brokoli dimasak lemak tidak ditambahkan dalam masakan,100 g,35,7.14,0.41,2.37
brokoli dimasak dari segar lemak tidak ditambahkan dalam masakan,100 g,35,7.14,0.41,2.37
brokoli dimasak dari beku,100 g,45,5.24,2.06,3.01
brokoli sultan,100 g,100,11,5,2
brokoli dimasak dari beku lemak tidak ditambahkan dalam masakan,100 g,28,5.32,0.11,3.08
brokoli cina dimasak,100 g,22,3.81,0.72,1.14
brokoli tusuk beku,100 g,29,5.35,0.34,3.06
beef stew with carrot,100 g,400,70,7,16
wortel dimasak,100 g,54,7.99,2.48,0.74
wortel,100 g,41,9.58,0.24,0.93
kue wortel tanpa lapisan gula,100 g,416,49.09,23.24,4.22
nasi tim ayam tomat wortel,100 g,400,76,8,12
red rocket,100 ml,36,7.6,0,0.8
tropic golden,100 ml,40,8.8,0,1.2
glowing calamansi,100 ml,44,10,0,0.8
pepaya,100 g,39,9.81,0.14,0.61
melon,100 g,34,8.16,0.19,0.84
buah naga,100 g,51,12.38,0.38,0.78
semangka merah,100 g,30,7.55,0.15,0.61
buah pir,100 g,58,15.46,0.12,0.38
nanas,100 g,48,12.63,0.12,0.54
pisang,100 g,89,22.84,0.33,1.09
mangga,100 g,65,17,0.27,0.51
super fruit mix,100 g,320,84,0,0
rujak buah,100 g,213,14.96,15.1,8.53
stroberi,100 g,32,7.68,0.3,0.67
apel tanpa kulit,100 g,48,12.76,0.13,0.27
jambu biji,100 g,68,14.32,0.95,2.55
duku,100 g,68,17.06,0.43,0.85
jambu kristal,100 g,49,12.2,0.3,0.9
nangka,100 g,94,24.01,0.3,1.47
labu siam,100 g,17,3.9,0.13,0.82
murbei,100 g,43,9.8,0.39,1.44
blewah melon,100 g,34,8.16,0.19,0.84
blueberry manis beku,100 g,81,21.95,0.13,0.4
labu siam buah dengan garam dikeringkan direbus dimasak,100 g,24,5.09,0.48,0.62
pare,100 g,29,6.82,0.22,1.12
terong belanda,100 g,48,8.64,1.15,2.1
jambu monyet,100 g,43,11.41,0.14,0.21
timun suri,100 g,16,3.65,0.12,0.65
jeruk kimkit,100 g,43,11.93,0.27,0.81
asam jawa,100 g,239,62.5,0.6,2.8
jambu jamaika,100 g,48,9.99,0.66,1.78
buah ara,100 g,74,19.18,0.3,0.75
mangga muda,100 g,59,15.32,0.24,0.46
fitbar fruits delight,100 g,450,75,17.5,10
pisang single,100 g,90,22,0,1
buah srikaya,100 g,94,23.64,0.29,2.06
jeruk mandarin kaleng atau beku,100 g,61,16.19,0.1,0.45
kedondong,100 g,41,10,0.27,0.88
apel braeburn,100 g,52,13.81,0.17,0.26
nangka muda,100 g,54,11.89,0.36,2.3
rasberi beku,100 g,103,26.16,0.16,0.7
stroberi beku,100 g,87,23.46,0.14,0.52
belimbing,100 g,31,6.73,0.33,1.04
nanas potongan manis beku,100 g,86,22.2,0.1,0.4
ceri merah asam,100 g,50,12.18,0.3,1
manggis,100 g,73,17.91,0.58,0.41
sirsak,100 g,66,16.84,0.3,1
jeruk dengan kulit,100 g,63,15.5,0.3,1.3
pisang kepok,100 g,104,27.44,0.26,0.97
semangka kuning,100 g,30,7.55,0.15,0.61
rasberi beku tanpa pemanis,100 g,52,11.94,0.65,1.2
jeruk keprok jeruk mandarin sirup ringan kemasan kalengan,100 g,15400,4080,25,113
mix fruit,100 ml,100,22.86,0,0
kismis tanpa biji,100 g,299,79.18,0.46,3.07
sukun,100 g,103,27.12,0.23,1.07
pisang kepok rebus,100 g,115,30.08,0.35,1.23
matoa,100 g,87,21.4,0.49,1.05
jamblang,100 g,60,15.56,0.23,0.72
rasberi,100 g,52,11.94,0.65,1.2
beri,100 g,33,7.98,0.3,0.68
stroberi beku tanpa pemanis,100 g,35,9.13,0.11,0.43
blueberry tanpa pemanis beku,100 g,51,12.17,0.64,0.42
kesemek,100 g,70,18.59,0.19,0.58
durian,100 g,147,27.09,5.33,1.47
apel granny smith,100 g,52,13.81,0.17,0.26
stroberi dalam sirup dimasak atau kalengan,100 g,92,23.53,0.26,0.56
jeruk bali merah dan merah muda,100 g,42,10.66,0.14,0.77
apel fuji,100 g,52,13.81,0.17,0.26
jambu air,100 g,46,11.66,0.27,0.5
banana,100 g,91.3,23.39,0.35,1.13
pisang mas,100 g,90,23.27,0.33,1.1
pisang raja,100 g,122,30.73,0.34,0.97
pisang uli,100 g,143,35.55,0.56,1.08
pisang barangan,100 g,107,27.87,0.35,1.21
pisang tanduk,100 g,122,31.89,0.37,1.3
pisang susu,100 g,94,23.03,0.33,1.42
pisang lampung,100 g,99,25.65,0.34,1.15
pisang raja direbus matang,100 g,115,30.96,0.18,0.78
pisang nugget,100 g,300,35,15,4
pisang keju,100 g,250,25.53,13.64,8.62
jantung pisang,100 g,123,31.83,0.35,1.4
keripik pisang,100 g,519,58.4,33.6,2.3
pisang bolen cokelat,100 g,400,40,24,8
lapis kukus pisang cokelat,100 g,380,42,22,6
sale pisang,100 g,276,66.51,0.9,2.87
carang gesing,100 g,81,13.44,2.36,2.78
cavendish banana chips,100 g,600,53.33,40,3.33
coklat pisang,100 ml,72,12.8,1.6,1.6
getuk pisang,100 g,142,34.12,0.44,1.14
pisang molen,100 g,275,39.05,11.68,3.91
puding pisang,100 g,127,21.2,3.6,2.4
pisang goroho,100 g,111,28.04,0.27,1.53
sanggara belanda,100 g,242,36.71,10.83,3.58
yogurt banana berries,100 g,85.71,12.86,2.86,2.86
nutrijell rasa pisang,100 g,400,70,15,0
es kul kul pisang,100 g,90,23.15,0.47,1.28
roti isi pisang coklat,100 g,342.86,54.29,10,8.57
soft cake choco banana,100 g,400,52,18.67,5.33
yoghurt drink low fat banana,100 ml,79.17,16.25,1.04,1.67
lada pisang,100 g,27,5.35,0.45,1.66
low fat banana,100 ml,80,15.2,0.8,2.8
chocolate hgh,100 ml,132,14.4,4.8,8.8
susu pisang,100 g,72,12,2,2.4
tepung pisang crispy,100 g,350,80,0,5
cavendish banana chips chocolate,100 g,550,55,35,5
banana blast,100 ml,73.68,11.58,2.37,2.11
banana milk,100 ml,66.67,9.44,1.94,2.22
peach berry,100 ml,36,9.2,0,0
good to go banana strawberry ml,100 ml,68,11.6,1.4,2.4
roti manis cokelat pisang,100 g,344.44,53.33,10,7.78
roti isi rasa cokelatpisang,100 g,345.45,58.18,8.18,7.27
pisang goreng,100 g,263.16,43.16,8.42,3.16
roti manis isi pisang cokelat,100 g,270,43,8,5
susu uht rasa pisang,100 g,140,22,4.5,4
squeeze yogurt cavendish banana,100 g,100,14.29,2.86,4.29
susu rasa pisang,100 ml,94.74,12.63,2.63,3.16
yogurt drink banana,100 ml,125,38,2,7
good to go cereal milk banana,100 ml,68,11.6,1.4,2.4
sun bubur susu sereal pisang,100 g,400,80,7.5,10
oatmeal instan rasa pisang madu,100 g,400,80,6.67,10
prime duo custard pisang cokelat,100 g,345.45,52.73,12.73,9.09
roti sandwich funwari pisang susu,100 g,274.73,48.35,6.59,6.59
nasi padang rendang,100 g,181.48,17.59,10.19,5.19
swiss roll strawberry,100 g,388.89,61.11,16.67,5.56
serealfit,100 g,130,25,2.5,2
salju kreker rasa original,100 g,500,70,20,0
muffin cup cake,100 g,444.44,50,22.22,5.56
britobar,100 g,454.55,63.64,18.18,9.09
jus apel,100 g,11700,2897,27,15
greenst,100 ml,28,5.6,0,1.2
greenfield organic,100 g,357.14,85.71,0,14.29
fruit tea apel,100 ml,32,7.6,0,0
pai apel,100 g,265,37.1,12.5,2.4
jus apel kaleng atau botol,100 g,11700,2897,27,15
jus cranberryapel botol,100 g,15400,3883,27,0
apple cider vinegar,100 ml,0,0,0,0
minuman jus apel,100 g,12500,3227,7,5
frestea apel,100 g,40,9.6,0,0
pai apel satu kerak,100 g,242,39.02,9.25,1.81
lychee apple tea,100 ml,44,10.8,0,0
sari apel,100 ml,49,12.24,0.12,0.06
saus apel tanpa pemanis,100 g,43,11.29,0.05,0.17
teajus apel,100 g,357.14,100,0,0
minuman sari buah apel,100 g,5000,1300,0,0
jus apel berkonsentrasi beku diencerkan dengan air,100 g,11200,2758,24,33
frestea apel botol,100 ml,44,11.2,0,0
saus apel dengan gula,100 g,76,19.91,0.18,0.18
bontea green original,100 g,333.33,100,0,0
lovy cookies chocobutter,100 g,450,70,17.5,10
lovy cookies coffeeccino,100 g,500,60,25,5
jeruk santang,100 g,47,11.75,0.12,0.94
jeruk sunkist,100 g,51.95,12.34,0,0.65
jus jeruk peras segar,100 g,11200,2579,50,174
jeruk,100 g,51.95,12.34,0,0.65
jeruk bali,100 g,32,8.08,0.1,0.63
jus jeruk,100 g,11200,2579,50,174
jus jeruk dingin termasuk dari konsentrat,100 g,11000,2505,67,199
jeruk peras,100 g,357.14,100,0,0
floridina coco,100 ml,51.43,12,0,0
isi soto koya jeruk nipis,100 g,464.29,65.18,18.75,8.93
refresh rasa jeruk,100 g,10000,2500,0,0
soda jeruk,100 ml,51.14,13.07,0,0
nasi daun jeruk ayam sambal matah,100 g,590,69,26,20
minum jus jeruk,100 g,13400,3339,0,50
pulpy orange,100 ml,43.33,11.33,0,0
fanta orange,100 ml,20,4.4,0,0
jeju orange,100 g,357.14,100,0,0
jus jeruk beku dilarutkan dengan air,100 g,11200,2714,15,169
jeruk extra manis,100 g,363.64,90.91,0,0
sunkist,100 ml,52.31,12.62,0,0
jus jeruk bali,100 g,9400,2213,25,128
jus jeruk bali merah muda,100 g,9600,2272,25,124
jus jeruk bali segar,100 g,9600,2272,25,124
american sweet orange,100 g,5000,1300,0,0
orange flavor,100 ml,53.85,11.54,0,0.77
jeruk nipis jahe,100 g,409.09,100,0,0
jeruk nipis,100 g,363.64,100,0,0
permen jeruk,100 g,400,93.33,0,0
squeezed orange less sugar,100 ml,30,7.5,0,0
daun jeruk,100 g,12,4.05,0.08,0.27
madurasa jeruk nipis,100 g,320,80,0,0
jeruk keprok jeruk mandarin jus kemasan kalengan,100 g,9200,2383,7,154
tropic calamansi,100 ml,40,9.2,0,0.4
coconut water rasa jeruk,100 g,32,8.4,0,0
squash delight jeruk florida,100 ml,137.93,34.48,0,0
pulpy x extra vit c,100 ml,30,7.67,0,0
jus jeruk bali putih,100 g,9600,2272,25,124
squash orange,100 ml,200,46.67,0,0
golden orange,100 ml,48,10.8,0,0.8
lofet kacang rasa daun jeruk,100 g,600,20,44,32
orange water c,100 ml,24,6.4,0,0
sari buah jeruk,100 ml,40,9.5,0,1
rasa jeruk,100 ml,40,8.67,0.67,0.33
cerelac apel jeruk pisang,100 g,420,66,9,16
keripik talas pedas daun jeruk,100 g,500,65,25,5
bumbu sachet nasi daun jeruk,100 g,400,60,20,0
susu uht full cream ml,100 ml,60,4.8,3.2,3.2
susu,100 g,12200,1149,488,803
kental manis,100 g,250,57.5,10,2.5
ultra mimi full cream,100 ml,64,4.8,3.2,3.2
uht full cream milk,100 g,16000,1100,900,800
susu murni,100 ml,62,4.66,3.35,3.32
susu uht low fat high calcium,100 ml,44,5.2,1.2,3.2
susu uht full cream,100 ml,60,5,3,3
susu low fat,100 g,10000,1200,300,700
susu uht rasa stroberi,100 ml,75,11,2.25,3
purefarm full cream,100 g,13000,1000,700,700
low fat milk,100 g,11000,1200,300,900
susu coklat,100 g,19000,2888,525,770
choco malt,100 ml,90,13.5,3.5,1
non fat milk,100 ml,35,5.5,0,3
susu kental manis,100 g,325,57.5,10,2.5
dancow full cream,100 g,444.44,40.74,29.63,22.22
susu bear brand,100 ml,63.49,4.76,3.7,3.17
fresh milk choco sea salt,100 ml,100,13.2,3.6,3.2
ultra mimi kids full cream,100 ml,64,4.8,3.2,3.2
hicalcium skimmed milk,100 g,9000,1100,0,1100
oat milk,100 ml,59,6.6,3,1
prostar casein protein,100 g,909.09,116.67,9.09,83.33
nutrive benecol strawberry,100 ml,60,8,2,1
susu rasa sereal stroberi,100 ml,64,11.2,2,0.8
milky strawberry,100 g,11000,1500,450,400
susu evaporasi,100 g,125,12.5,6.25,5
susu uht rasa cokelat,100 ml,75,11.5,2.25,2
susu putih manis,100 ml,77.78,8.89,3.33,3.33
soy milk unsweetened,100 ml,31.2,0.4,2.2,1.88
uht milk low fat high calcium,100 ml,40,4.5,1.25,3
almond milk,100 ml,26,1.5,2.1,0.6
susu uht rasa coklat,100 ml,88,11.2,3.6,4
wrp on the go,100 ml,75,12,1.5,3.5
susu cappuccino,100 ml,45,3.5,2.5,2.5
double belgian chocolate with pistachio milk,100 ml,25,2.22,1.67,0.56
fresh milk,100 ml,65,4.5,4,3
cereal chocolate milk drinks,100 ml,85,15,2,1.5
almond breeze original,100 ml,25,3.33,1.11,0.56
goalll,100 ml,105.88,14.12,5.88,1.18
susu rendah lemak dengan tambahan vitamin a,100 g,12200,1142,481,805
haenam goguma,100 ml,66.67,9.44,1.94,2.22
almond breeze latte,100 ml,33.33,4.44,1.11,1.11
purefarm kacang hijau,100 g,62.22,9.78,1.33,2.67
skim milk plain fiber pro,100 g,346.15,57.69,0,26.92
rasa kacang hijau,100 g,428.57,77.14,10,8.57
soya bean milk,100 ml,69,7.6,3,2.7
bulgarian style yogurt mango,100 ml,88,14.4,2,2.4
susu vanila,100 g,400,55,10,25
yogurt rasa stroberi,100 ml,100,14.4,3.6,2.4
carnivor,100 g,335.14,21.62,0,62.16
susu pasteurisasi rasa vanilla,100 g,13000,2200,300,400
gold plus,100 g,328.57,48.57,1.43,28.57
daily formula,100 g,25000,4200,400,1200
whey protein,100 g,15000,2100,200,1200
fresh milk low fat,100 g,9000,1100,250,600
susu uht coklat,100 ml,85,13,2.5,2
vsoy multigrain,100 ml,69,7.6,3,2.7
susu kental manis cokelat,100 g,325,55,11.25,2.5
lose weight,100 g,388.89,61.11,2.78,25.93
susu susu murni,100 g,14600,1103,793,786
thai milk green tea,100 ml,52,10,2.4,1.6
lemak susu,100 g,10200,1218,237,822
matcha green tea latte with walnut milk,100 ml,33.33,1.67,2.78,0.56
susu dengan lemak yang telah dikurangi,100 g,12200,1142,481,805
susu kedelai,100 ml,54,5.1,1.99,4.64
hicalcium low fat milk,100 ml,40,4.5,1.25,3
susu tawar,100 ml,58,5,3,2.8
chocolate taro botol,100 ml,35,7.5,0,1
topping kental manis,100 ml,350,120,0,0
uht full cream,100 ml,60,5,3,3
dairy milk chocolate,100 ml,550,60,30,10
sereal in,100 g,416.67,83.33,8.33,4.17
susu uht low fat,100 g,4500,550,125,350
low fat source of calcium ml,100 ml,65,10,1,3.5
susu almond manis,100 g,5900,633,351,148
susu uht vanilla,100 ml,57.89,7.89,2.11,2.11
susu kental manis tiga sapi,100 g,120,22,3.5,1
avocado strawberry sundae,100 ml,100,16,3.5,1
susu almond,100 g,4000,140,358,151
skm coklat,100 g,333.33,57.14,9.52,2.38
chilgo pisang,100 ml,67.86,10,2.14,2.14
minuman serbuk kedelai,100 g,440,62,12,22
teen vanilla caramel,100 g,16000,2800,250,600
susu tanpa lemak dengan tambahan vitamin a dan protein,100 g,10100,1368,62,974
keju cheddar,100 g,403,1.28,33.14,24.9
keju slice,100 g,294.12,5.88,20.59,17.65
gold cheddar,100 g,333.33,20.83,25,4.17
cheddar cheese,100 g,300,10,25,10
quick melt keju cepat leleh,100 g,300,13.33,23.33,16.67
keju serbaguna,100 g,300,26.67,20,6.67
mozzarella cheddar,100 g,333.33,13.33,26.67,13.33
saus keju,100 g,174,6.83,13.29,6.71
quick melt,100 g,375,12.5,31.25,6.25
slice melt,100 g,375,6.25,28.12,18.75
cheese spread,100 g,300,6.67,30,6.67
singles,100 g,305.88,11.76,20.59,17.65
belcube,100 g,260,4.6,20,12
cheddar,100 g,300,5,25,20
keju gouda atau edam,100 g,357,1.67,27.69,24.98
cheese stick bbq,100 g,291.67,16.67,20.83,16.67
rich cheese,100 g,300,13.33,23.33,13.33
keju ricotta susu murni,100 g,174,3.04,12.98,11.26
mozarella,100 g,350,10,30,15
keju kambing agak lembut,100 g,364,2.54,29.84,21.58
rendah lemak lemak keju cottage,100 g,72,2.72,1.02,12.39
milky soft,100 g,333.33,10,26.67,10
ricotta cheese,100 g,200,4,18,8
spready,100 g,350,20,30,5
baked cheese tart,100 g,402.22,42.22,22.22,8.89
singkong serut rasa keju,100 g,550,65,30,0
finger cheese biskuit,100 g,440,72,10,12
keju ricotta,100 g,156,4.09,10.44,11.32
singles bbq chicken,100 g,352.94,17.65,23.53,11.76
mozza cheese slice,100 g,333.33,13.33,26.67,13.33
the big cheez,100 g,514,53,35,7
keju amerika kemasan dingin,100 g,331,8.32,24.46,19.66
raclette cheese flavour,100 g,550,55,35,5
keju cottage rendah lemak lemak susu,100 g,90,3.63,1.93,13.74
sagu keju,100 g,500,66.67,16.67,0
keju parmesan keras,100 g,392,3.22,25.83,35.75
bisvit selimut keju,100 g,450,60,20,10
cedda cheese slice,100 g,300,20,23.33,6.67
cream cheese light,100 g,180,2,14,10
keju cottage,100 g,103,2.68,4.51,12.49
keju romano,100 g,387,3.63,26.94,31.8
keju mozzarella tanpa lemak,100 g,149,3.5,0,31.7
zuperrr keju malkist,100 g,523.81,61.9,23.81,4.76
keju krim bebas lemak,100 g,96,5.8,1.36,14.41
keju feta,100 g,264,4.09,21.28,14.21
super ring,100 g,571.43,50,42.86,7.14
pasta keju,100 g,625,50,37.5,0
keju alami,100 g,363,2.47,27.77,25.48
cream cheese wafer,100 g,450,70,20,10
keju edam,100 g,357,1.43,27.8,24.99
keju kambing lembut,100 g,268,0.89,21.08,18.52
mozza cheese,100 g,333.33,6.67,26.67,13.33
bocconcini cheese,100 g,212.12,3.03,18.18,15.15
cream cheese,100 g,133.33,3.33,8.33,10
cheese triangles,100 g,388.89,11.11,33.33,16.67
cheese stick rasa pizza,100 g,291.67,20.83,20.83,8.33
shred cheese,100 g,300,33.33,20,0
gourmet slices,100 g,305.88,2.94,24.71,17.06
keju camembert,100 g,300,0.46,24.26,19.8
mild cheese,100 g,300,20,20,6.67
babybel mini original cheese,100 g,350,0,25,20
smokey bbq slices,100 g,323.53,6.47,25.29,17.06
mini babybel tasty cheddar,100 g,309.09,2.27,24.09,23.18
cheese cake,100 g,363.64,43.64,18.18,7.27
shoops,100 g,228.57,25.71,12.86,2.86
cheese stick,100 g,291.67,20.83,18.75,8.33
cheddar singles,100 g,300,6.67,20,13.33
keju singles kurang lemak,100 g,233.33,6.67,13.33,20
singles reguler,100 g,300,6.67,20,13.33
keju cheddar atau colby rendah lemak,100 g,173,1.91,7,24.35
gold cake original japanese cake,100 g,281.25,31.25,12.5,9.38
roti sisir keju,100 g,371.43,54.29,14.29,5.71
yogurt plain,100 g,10000,1400,250,400
yogurt polos,100 g,63,7.04,1.55,5.25
squeeze yogurt blueberry,100 g,83.33,14.17,2.5,2.5
squeeze yogurt original,100 ml,100,17.14,2.86,2.86
greek yogurt,100 g,100,3.75,7.5,3.75
original yogurt,100 g,112,17.6,3.6,3.2
greek yogurt original,100 g,113,6.25,7.5,5
blueberry yogurt,100 ml,90,14,2,3
yogurt,100 g,100,24.29,4.29,4.29
strawberry yoghurt,100 ml,100,18,0.5,4
yogurt drink strawberry,100 ml,71.43,14.29,0,2.86
cimory squeeze,100 ml,100,14.29,2.86,4.29
yogurt polos susu murni,100 g,61,4.66,3.25,3.47
yogurt drink,100 ml,80,15.2,0.8,2.8
greek yogurt classic,100 ml,55,7.5,2,2
greek yogurt mango,100 g,162.5,12.5,6.25,6.25
yogurt drink no added sugar,100 ml,37.5,9.17,0.62,1.67
strawberry yogurt,100 ml,72,11.6,2,2
yogurt strawberry ml,100 ml,50,8.5,1,2
bulgarian style yogurt original,100 ml,72,11.2,1.6,1.6
biokul topping mocha granola,100 g,230,27,9,10
bulgarian style yogurt drink slim berries,100 ml,80,14.5,1.5,2
