Nama Makanan,Ukuran Porsi,Kalori (kkal),Karbohidrat (g),Lemak (g),Protein (g)
mie goreng extra pedas,100 g,440,68,16,9.33
champong,100 g,429.84,67.74,13.71,8.06
mi keriting rasa ayam panggang,100 g,433.33,58.89,16.67,11.11
mie goreng ala chef devina,100 g,462.37,63.44,18.28,10.75
mie gepeng soup green chili soto,100 g,432.84,59.7,17.91,10.45
rasa ayam spesial,100 g,453.33,62.67,18.67,9.33
ramen keju,100 g,433.33,60,16.67,10
tomyam flavour,100 g,463.86,59.16,21.2,8.92
mie goreng rendang,100 g,376.62,70.13,6.49,10.39
rasa tengkleng,100 g,466.67,60,18.67,12
mie gaga extra pedas goreng jalapeno,100 g,447.06,63.53,16.47,9.41
laksa ala singapura,100 g,435.29,68.24,14.12,9.41
mi instan goreng rasa pedas,100 g,400,67.69,7.69,12.31
niku udon,100 g,104.35,15.65,3.7,7.39
curly fried noodle salted egg,100 g,480,53,25,11
bihun kering,100 g,364,83.24,0.56,3.44
tom yum noodle,100 g,67.57,14.86,0,0
mikuya ramen iyaiya flavor,100 g,466.67,58.33,21.67,9.17
ghost pepper creamy curry lontong,100 g,440,64,16,8
ayam goreng,100 g,260,10.76,14.55,21.93
daging ayam panggang bakar dimasak,100 g,167,0,6.63,25.01
dada ayam,100 g,195,0,7.72,29.55
daging dada ayam ayam pedaging dipanggang dimasak,100 g,165,0,3.57,31.02
dada ayam rebus kulit tidak dimakan,100 g,150,0,3,28.74
ayam kecap,100 g,223,9.41,11.96,18.82
ayam dilapisi tepung roti dan digoreng,100 g,297,16.32,18.82,15.59
ayam,100 g,237,0,13.49,27.07
opor ayam,100 g,163,5.6,8.67,16.53
ayam masak merah,100 g,131,7.53,4.31,16.01
ayam ricarica,100 g,202,3.71,11.41,20.49
dada ayam goreng ada lapisan kulit tidak dimakan,100 g,184,0,4.68,33.34
dada ayam goreng tanpa pelapis kulit dimakan,100 g,216,0,9.1,31.67
dada ayam kulit tidak dimakan,100 g,164,0,3.54,30.76
ayam geprek,100 g,263,7.6,17.99,17.61
ayam suwir,100 g,112,0,2.07,21.86
