Nama Makanan,Ukuran Porsi,Kalori (kkal),Karbohidrat (g),Lemak (g),Protein (g),Kategori,is_seafood,is_peanut,is_dairy,protein_to_calorie_ratio,is_low_calorie,is_low_fat,is_low_carb,is_high_carb,is_high_protein,Kalori (kkal)_scaled,Karbohidrat (g)_scaled,Lemak (g)_scaled,Protein (g)_scaled,protein_to_calorie_ratio_scaled
Sayur Brongkos,100 g,142,12.21,3.67,14.87,Sayur,0,0,0,0.10471831,0,0,0,0,1,-0.483095397,-0.262823765,-0.325750996,0.672766433,1.143859039
Blewah Melon,100 g,34,8.16,0.19,0.84,Buah,0,0,0,0.024705882,1,1,1,1,0,-1.867691341,-0.533389357,-1.491010541,-1.484559525,-0.549065868
Apel Tanpa Kulit,100 g,48,12.76,0.13,0.27,Buah,0,0,0,0.005625,1,1,0,1,0,-1.591370096,-0.231011689,-1.533777424,-1.763398679,-1.320816203
Jambu Biji,100 g,68,14.32,0.95,2.55,Masakan,0,0,0,0.0375,1,1,0,1,0,-1.277798962,-0.145586436,-1.077941447,-0.930954182,-0.137973434
Duku,100 g,68,17.06,0.43,0.85,Masakan,0,0,0,0.0125,1,1,0,1,0,-1.277798962,-0.009867755,-1.338370118,-1.480312502,-1.017952102
Jambu Kristal,100 g,49,12.2,0.3,0.9,Masakan,0,0,0,0.018367347,1,1,0,1,0,-1.573806652,-0.263411085,-1.417706418,-1.459342228,-0.782277872
Nangka,100 g,94,24.01,0.3,1.47,Buah,0,0,0,0.015638298,1,1,0,1,0,-0.951914992,0.276871241,-1.417706418,-1.24635825,-0.889416859
Labu Siam,100 g,17,3.9,0.13,0.82,Buah,0,0,0,0.048235294,1,1,1,1,0,-2.333110728,-0.93878377,-1.533777424,-1.493107912,0.154005789
Murbei,100 g,43,9.8,0.39,1.44,Masakan,0,0,0,0.033488372,1,1,1,1,0,-1.683037745,-0.414938534,-1.362019813,-1.256553026,-0.258930509
Rujak Buah,100 g,213,14.96,15.1,8.53,Buah,0,0,0,0.040046948,0,0,0,0,0,0.04359435,-0.112382914,0.78964285,0.066510147,-0.064661657
Blueberry Manis Beku,100 g,81,21.95,0.13,0.4,Buah,0,0,0,0.004938272,1,1,0,1,0,-1.10605994,0.198733539,-1.533777424,-1.692286326,-1.352765149
Pare,100 g,29,6.82,0.22,1.12,Sayur,0,0,0,0.03862069,1,1,1,1,0,-1.984621639,-0.642346915,-1.470395345,-1.371889771,-0.105390606
Terong Belanda,100 g,48,8.64,1.15,2.1,Sayur,0,0,0,0.04375,1,1,1,1,0,-1.591370096,-0.497211336,-0.995237844,-1.051762514,0.037344596
Jambu Monyet,100 g,43,11.41,0.14,0.21,Masakan,0,0,0,0.004883721,1,1,0,1,0,-1.683037745,-0.310877663,-1.526500886,-1.798152074,-1.35531677
Timun Suri,100 g,16,3.65,0.12,0.65,Buah,0,0,0,0.040625,1,1,1,1,0,-2.368656395,-0.969750954,-1.541115857,-1.568898063,-0.048386231
