Nama Makanan,Kategori,Ukuran Porsi,Kalori (kkal),Karbohidrat (g),Protein (g),Lemak (g),Glycemic Risk
"Kura-kura, segar",Lauk,100,83,0,19.1,0.2,low
"Kuro, segar",Lauk,100,87,1,16,2.2,low
"Lokan, segar",Lauk,100,217,5.1,11,1.7,low
"Rajungan, segar",Lauk,100,76,2.4,12.1,2,low
"Rebon, udang kecil, segar",Lauk,100,81,0.7,16.2,1.2,low
Rusip,Lauk,100,110,11.7,11.5,2,low
"Udang galah, segar",Lauk,100,81,3,16.5,0.3,low
"Udang, besar, segar",Lauk,100,56,1.2,11.4,0.6,low
"Udang, segar",Lauk,100,91,0.1,21,0.2,low
"Ikan gurame, segar",Lauk,100,127,0,18,5.6,low
Ikan kembung,Lauk,100,103,0,22,1,low
"Ikan, Nila",Lauk,100,128,0.18,16.79,0.18,low
"Seafood, Lobster, mentah, segar",Lauk,100,112,2.43,20.6,1.51,low
"Bekicot, dendeng, mentah",Lauk,100,441,15.8,48.7,20.3,low
"Belut, goreng",Lauk,100,417,32,25.9,19.4,low
"Cumi-cumi, goreng",Lauk,100,265,0,40.6,10.1,low
"Ikan asin, kering",Lauk,100,193,0,42,1.5,low
"Ikan bandeng presto, masakan",Lauk,100,296,11.3,17.1,20.3,low
Ikan baung bakar,Lauk,100,144,5.2,17.8,5.8,low
Ikan Belida bakar,Lauk,100,128,7.2,18,3,low
"Ikan cakalang asap, mentah",Lauk,100,204,1.9,34.2,5.6,low
"Ikan cakalang asin, mentah",Lauk,100,198,5.5,36.5,2.2,low
"Ikan calo/ peda, mentah",Lauk,100,81,3.8,11.4,1.9,low
"Ikan Gabus asap, mentah",Lauk,100,261,21.9,38.1,2.3,low
"Ikan Gabus, kering",Lauk,100,268,0,58,4,low
"Ikan gete, goreng",Lauk,100,267,0.2,23.1,19.4,low
"Ikan hiu, kering",Lauk,100,298,20.2,46.3,3.6,low
"Ikan katombo, asin",Lauk,100,162,0.3,31.7,2.8,low
"Ikan kayu, kering",Lauk,100,302,0.4,70.7,1.9,low
Ikan Lais bakar,Lauk,100,147,5.4,17.5,6.5,low
"Ikan lomak asin, mentah",Lauk,100,258,18.9,40.3,2.3,low
Ikan Mas pepes,Lauk,100,209,11.8,15.2,11.3,low
Ikan mujahir goreng,Lauk,100,416,0,46.9,23.9,low
Ikan Mujahir pepes,Lauk,100,121,0.8,21.7,2.8,low
"Ikan mujahir, dendeng, mentah",Lauk,100,582,37.2,68.3,15.2,low
"Ikan Papuyu, bakar",Lauk,100,152,6.7,17.6,6.1,low
"Ikan Patin, bakar",Lauk,100,144,4.3,17.5,6.3,low
"Ikan peda banjar, mentah",Lauk,100,156,2,28,4,low
"Ikan pepetek, mentah",Lauk,100,176,2,32,4.4,low
"Ikan Pindang banjar, mentah",Lauk,100,157,1.8,28,4.2,low
"Ikan Pindang benggol, mentah",Lauk,100,170,0,31,4.2,low
"Ikan Pindang layang, mentah",Lauk,100,153,0,30,2.8,low
"Ikan Pindang selar, mentah",Lauk,100,142,0,27,3,low
"Ikan sale, mentah",Lauk,100,534,4.9,40.2,39.3,low
"Ikan sale lais, mentah",Lauk,100,415,2.9,61.3,17.6,low
"Ikan saluang, kering, mentah",Lauk,100,284,14.6,34.1,9.9,low
"Ikan sanggang, masakan",Lauk,100,240,20.7,21.7,7.7,low
"Ikan selar kuning, cue, mentah",Lauk,100,138,0,27,3.3,low
"Ikan selar, kering, mentah",Lauk,100,194,0,38,3.5,low
"Ikan sepat, kering, mentah",Lauk,100,289,0,38,14,low
"Ikan sunu, asin, mentah",Lauk,100,199,7.1,34.1,3.8,low
"Ikan, tepung, mentah",Lauk,100,316,22.4,60.1,6.5,low
"Ikan Teri nasi, kering, mentah",Lauk,100,144,0,32.5,0.6,low
"Ikan Teri, bubuk, mentah",Lauk,100,277,1.8,60,2.3,low
"Ikan teri, kering, mentah",Lauk,100,170,0,33.4,3,low
"Ikan Teri, kering, tawar, mentah",Lauk,100,331,0,68.7,4.2,low
"Ikan Teri, tepung, mentah",Lauk,100,347,19.6,48.8,6.4,low
"Kerang, asap, mentah",Lauk,100,393,29.4,38.9,13.3,low
"Kerang, dendeng, mentah",Lauk,100,357,25.6,41.1,10,low
"Rebon, kering, mentah",Lauk,100,299,3.2,59.4,3.6,low
"Rebung laut, mentah",Lauk,100,320,63.3,7.2,4.2,low
Sardines dalam kaleng,Lauk,100,338,1,21.1,27,high
"Teripang, dendeng, mentah",Lauk,100,462,3.5,39.1,32.4,low
"Udang kering, mentah",Lauk,100,278,2.2,62.6,4.1,low
"Udang papay, mentah",Lauk,100,273,12.5,47.8,3.8,low
Abon haruwan,Lauk,100,513,21.3,23.7,37,
Abon ikan,Lauk,100,435,36.1,27.2,20.2,
"Betok wadi, masakan",Masakan,100,145,4.1,16.3,7,
"Bou ninahu ndamate, masakan",Masakan,100,79,1.1,6.3,1,
"Bouiki ninahu nggaluku, masakan",Masakan,100,94,10.8,7.8,2.2,
Cakalang asar (asap),Masakan,100,155,10.2,20.1,3.8,low
"Dendeng belut, goreng, masakan",Masakan,100,382,8,55.7,14.1,low
"Dendeng mujahir, goreng, masakan",Masakan,100,598,9.2,74.3,26.9,low
Fillet o-fish,Masakan,100,270,19.3,12.3,15.9,low
"Gete kuah asam, masakan",Masakan,100,75,6,8.2,2,
"Gulai asam keueung, masakan",Masakan,100,52,1.8,10,0.5,
"Gulai ikan paya, masakan",Masakan,100,148,5,10,9.8,
"Gulai ikan, masakan",Masakan,100,106,2.5,16.5,3.3,
"Gulai keumamah, masakan",Masakan,100,110,3.2,5.9,8.2,
"Gulai tiram, masakan",Masakan,100,132,7.8,9,7.2,
"Gurame asem manis, masakan",Masakan,100,192,12.7,12.7,10.1,low
"Ikan asar merah, masakan",Masakan,100,146,5.6,17.7,5.9,low
"Jambal goreng, masakan",Masakan,100,286,2.3,48.5,9.2,
"Jukku pallu kaloa, masakan",Masakan,100,15,8.8,15.2,4.3,
"Kaholeo, masakan",Masakan,100,413,29.8,28.7,19.8,
Lawara penjah,Masakan,100,207,9.6,7.4,15.4,
"Model, masakan",Masakan,100,79,8.6,2.2,4,
"Mujahir acar kuning, masakan",Masakan,100,330,12.1,17.8,23.4,low
"Parede baleh, masakan",Masakan,100,87,5.5,10.5,2.5,
"Pempek adaan, masakan",Masakan,100,162,27.8,4.9,3,
"Pempek belida, masakan",Masakan,100,156,31.6,4.2,1.4,
"Pempek kapal selam, masakan",Masakan,100,152,28.2,4.5,2.3,
"Pempek kelesan, masakan",Masakan,100,211,26.6,12.3,6.1,
"Pempek kulit, masakan",Masakan,100,243,39.1,5.2,7.3,
"Pempek telur, masakan",Masakan,100,156,28.3,4.7,2.7,
"Pempek tenggiri, masakan",Masakan,100,173,33.4,7.2,1.2,
"Pencok lele, masakan",Masakan,100,372,3.5,7.8,36.3,
Pinda,Masakan,100,107,0.4,15.9,0.6,
"Pindang kenari, masakan",Masakan,100,124,0,9.5,9.6,low
"Saboko gurita, masakan",Masakan,100,87,2.6,15.7,1.5,low
"Saboko saltan, masakan",Masakan,100,113,3,17.1,3.6,
"Saboko sardin, masakan",Masakan,100,110,4.9,12.9,4.3,
Sate Bandeng,Masakan,100,283,20.9,12.1,16.8,
"Sepi, masakan",Masakan,100,88,10.6,7.9,1.6,
"Tekwan, masakan",Masakan,100,53,9.4,1.9,0.9,
"Teri belado, masakan",Masakan,100,365,17.5,23.7,22.3,
"Tumis bandeng, masakan",Masakan,100,189,0.6,11.3,15.7,low
Tumis keumamah,Lauk,100,300,15.5,14.5,20,low
"Telur ayam kampung, segar",Lauk,100,174,1.2,10.8,14,low
"Telur ayam ras, segar",Lauk,100,154,0.7,12.4,10.8,low
"Telur ayam ras, bagian kuning, segar",Lauk,100,355,0.7,16.3,31.9,low
"Telur ayam ras, bagian putih, segar",Lauk,100,50,0.8,10.8,0,low
"Telur bebek alabio, segar",Lauk,100,187,3,11.8,14.2,low
"Telur bebek, bagian kuning, segar",Lauk,100,386,0.8,17,35,low
"Telur bebek, bagian putih, segar",Lauk,100,54,0.8,11,0,low
"Telur bebek tambak, segar",Lauk,100,187,7.9,10.9,12.4,low
"Telur burung maleo, segar",Lauk,100,436,0.4,26.5,36.3,low
"Telur penyu, segar",Lauk,100,136,2.7,8.6,10.1,low
"Telur burung puyuh, segar",Lauk,100,116,1.6,10.7,7,low
"Telur ayam, dadar, masakan",Lauk,100,251,1.4,16.3,19.4,low
"Telur bebek, asin, mentah",Lauk,100,179,4.4,13.6,13.3,low
"Telur bebek, dadar, masakan",Lauk,100,301,0,20,23.7,low
"Ikan, telur, asin, mentah",Lauk,100,358,9.4,20.7,26.4,low
"Bayau mi balu, masakan",Lauk,100,313,44.8,6,12.2,
"Cucuru bayau, masakan",Lauk,100,349,38.3,6.8,18.7,
"Kalio telur, masakan",Lauk,100,193,9.7,10.6,12.4,low
"Kepala susu - krim, segar",Minuman,100,204,4,2.6,20,moderate
Susu ibu - ASI,Minuman,100,62,7,1.5,3.2,low
"Susu kambing, segar",Minuman,100,64,6.6,4.3,2.3,low
"Susu kerbau, segar",Minuman,100,160,7.1,6.3,12,low
"Susu kuda, segar",Minuman,100,40,5.4,2,1.1,low
"Susu sapi, segar",Minuman,100,61,4.3,3.2,3.5,low
Es krim,Snack,100,210,20.6,4,12.5,moderate
Hangop,Snack,100,65,3.5,10,1,
Keju,Snack,100,326,13.1,22.8,20.3,low
Kwark (Quark),Snack,100,242,3,19,17,
"Susu asam untuk bayi, bubuk",Minuman,100,418,65.5,19,9,moderate
Susu bubuk,Minuman,100,513,36.2,24.6,30,moderate
Susu kental manis,Minuman,100,343,55,8.2,10,high
Susu kental tak manis,Minuman,100,138,9.9,7,7.9,moderate
"Susu skim, bubuk",Minuman,100,359,52,35.6,1,low
"Susu skim, segar",Minuman,100,36,5.1,3.5,0.1,low
"Yoghurt, segar",Minuman,100,52,4,3.3,2.5,low
"Kelapa setengah tua, daging, segar",Minuman,100,180,10,4,15,low
"Kelapa tua, daging, segar",Minuman,100,359,14,3.4,34.7,low
Lemak babi (lard),Lauk,100,902,0,0,100,low
Lemak babi (bacon),Lauk,100,626,1.1,9.1,65,low
Lemak ikan,Lauk,100,372,14.4,12,29.4,low
Lemak kerbau (lemak sapi),Lauk,100,818,0,1.5,90,low
"Minyak hiu, hati",Lauk,100,902,0,0,100,
Minyak ikan,Lauk,100,902,0,0,100,
Minyak kacang tanah,Lauk,100,902,0,0,100,
Minyak kedelai,Lauk,100,883,0,0,99.9,
Minyak kelapa,Lauk,100,870,0,1,98,
Minyak kelapa sawit,Lauk,100,884,0,0,100,
Minyak wijen,Lauk,100,881,0,0.2,99.7,
Margarin,Lauk,100,720,0.4,0.6,81,low
Mentega,Lauk,100,742,1.4,0.5,81.6,high
Santan (dengan air),Lauk,100,122,7.6,2,10,
Santan murni,Lauk,100,324,5.6,4.2,34.3,
"Coklat manis, batang",Snack,100,527,62.7,2,29.8,high
"Coklat pahit,batang",Snack,100,615,29.2,5.5,42.6,moderate
"Coklat susu, batang",Snack,100,565,53.6,9,35,high
Coklat bubuk,Snack,100,311,48.9,8,4,moderate
Gula aren,Snack / Lauk,100,368,92,0,0,high
Gula kelapa,Snack / Lauk,100,386,76,3,10,high
Gula putih,Snack / Lauk,100,394,94,0,0,high
"Jam, selai",Snack / Lauk,100,239,64.5,0.5,0.6,low
Kopi bubuk instant,Minuman,100,129,35,12.3,0.5,low
Madu,Minuman,100,294,79.5,0.3,0,moderate
Markisa squash,Minuman,100,217,49.6,2.5,1,low
"Markisa squash, BD",Minuman,100,104,23.7,1.2,0.5,low
Melase,Minuman,100,276,71,,0.1,low
Sirup,Minuman,100,213,55,0,0,high
Sirup pirous,Minuman,100,228,55.9,0.2,0.4,high
Teh hijau daun kering,Minuman,100,300,53.6,28.3,4.8,
Teh hitam daun kering,Minuman,100,293,58.8,24.5,2.8,
Teh melati daun kering,Minuman,100,299,59,24.1,3.5,
"Asam arang coklat, segar",Lauk,100,130,30.9,0.5,1.1,
"Asam arang merah, segar",Lauk,100,99,20.3,0.8,1.6,
"Asan kandis, kering",Lauk,100,261,63.3,0.9,1.6,
"Asam kandis, segar",Lauk,100,75,16.1,0.2,1.1,
"Asam masak pohon, segar",Lauk,100,267,62.5,2.8,0.6,
"Asam payak, segar",Lauk,100,135,32.1,0.8,0.4,
"Bawang merah, segar",Lauk,100,46,9.2,1.5,0.3,low
"Bawang putih, segar",Lauk,100,112,23.1,4.5,0.2,low
"Boros kunci, segar",Lauk,100,40,7.2,1,0.8,
"Boros laja (lengkuas), segar",Lauk,100,26,4.7,1,0.3,
"Cabai gembor merah, segar",Lauk,100,38,6.3,1.6,0.8,low
"Cabai hijau, segar",Lauk,100,26,5.2,0.7,0.3,low
"Cabai merah, kering",Lauk,100,367,61.8,15.9,6.2,low
"Cabai merah, segar",Lauk,100,36,7.3,1,0.3,low
"Cabai rawit, segar",Lauk,100,120,19.9,4.7,2.4,low
"Cengkeh, kering",Lauk,100,330,57.4,5.2,8.9,
"Daun salam,  bubuk",Lauk,100,301,49,14.2,10.9,low
"Jahe, segar",Lauk,100,51,10.1,1.5,1,low
Kemiri,Lauk,100,675,8,19,63,
"Ketumbar, kering",Lauk,100,418,54.2,14.1,16.1,
Kluwek,Lauk,100,310,13.5,10,24,
"Kunyit, segar",Lauk,100,69,9.1,2,2.7,
"Merica, kering",Lauk,100,365,64.4,11.5,6.8,
"Pala, biji, kering",Lauk,100,518,40.1,7.5,36.4,
Balichong,Lauk,100,152,22.9,13.2,0.8,
Bekasam,Lauk,100,116,6.1,11.9,4.9,
Bekasang,Lauk,100,78,3.6,11.4,2,
Cuka,Lauk,100,21,5,0.1,0.1,
Kecap,Lauk,100,71,9,5.7,1.3,
Petis ikan,Lauk,100,165,20.8,20,0.2,low
Petis udang kering,Lauk,100,345,59.3,23.8,1.4,
Petis udang pasta,Lauk,100,220,38,15,0.9,
Saos tomat,Lauk,100,110,24.5,2,0.4,low
Tempoya,Lauk,100,110,21.9,1.7,1.3,
Terasi,Lauk,100,155,9.9,22.3,2.9,
Terasi dobo,Lauk,100,191,6.6,33.1,3.6,
Terasi merah,Lauk,100,174,5.6,30,3.5,
Kefir,Minuman,100,52,7.34,3.59,0.92,low
"Susu kedelai, chocolate",Minuman,100,63,9.95,2.26,1.53,
"Susu kedelai, light, chocolate",Minuman,100,47,8.24,2.1,0.64,
"Susu Almond, sweetened",Minuman,100,38,6.59,0.42,1.04,
"Susu Almond, sweetened, chocolate",Minuman,100,50,9.38,0.63,1.25,
"Susu Almond, unsweetened",Minuman,100,15,0.58,0.59,1.1,
"Susu Almond, unsweetened, chocolate",Minuman,100,21,1.25,0.83,1.46,
"Yogurt, Greek, plain",Minuman,100,73,3.94,9.95,1.92,low
"Yogurt, Greek, whole milk, plain",Minuman,100,97,3.98,9,5,low
"Yogurt, Greek, low fat milk, plain",Minuman,100,73,3.94,9.95,1.92,low
"Yogurt, Greek, nonfat milk, plain",Minuman,100,59,3.6,10.19,0.39,low
"Yogurt, Greek, fruit",Minuman,100,103,11.89,8.17,2.57,low
"Yogurt, Greek, whole milk, fruit",Minuman,100,106,12.29,7.33,3,low
"Yogurt, Greek, low fat milk, fruit",Minuman,100,103,11.89,8.17,2.57,low
"Yogurt, Greek, nonfat milk, fruit",Minuman,100,82,12.07,8.05,0.15,low
"Yogurt, Greek, flavors other than fruit",Minuman,100,95,9.54,8.64,2.5,low
"Yogurt, Greek, whole milk, flavors other than fruit",Minuman,100,111,9.35,8.47,4.44,low
"Yogurt, Greek, low fat milk, flavors other than fruit",Minuman,100,95,9.54,8.64,2.5,low
"Yogurt, Greek, nonfat milk, flavors other than fruit",Minuman,100,78,10.37,8.64,0.18,low
"Yogurt, Greek, with oats",Minuman,100,154,23.81,8.65,3.14,low
"Cream, light",Snack,100,191,2.82,2.96,19.1,
"Cream, half and half",Snack,100,123,4.73,3.13,10.39,
"Cream, half and half, flavored",Snack,100,122,4.92,3.07,10.19,
"Cream, half and half, fat free",Snack,100,59,9,2.6,1.4,
"Cream, heavy",Snack,100,340,2.74,2.84,36.08,
"Cream, whipped",Snack,100,343,8.49,2.67,33.94,
"Keju, Blue or Roquefort",Others,100,353,2.34,21.4,28.74,
"Keju, Brick",Others,100,371,2.79,23.24,29.68,
"Keju, Camembert",Others,100,300,0.46,19.8,24.26,
"Keju, Brie",Others,100,334,0.45,20.75,27.68,
"Keju, Cheddar",Others,100,404,3.09,22.87,33.31,
"Keju, Cheddar, reduced fat",Others,100,309,4.06,27.35,20.41,
"Keju, Cheddar, nonfat or fat free",Others,100,157,7.14,32.14,0,
"Keju, Colby",Others,100,394,2.57,23.76,32.11,
"Keju, Colby Jack",Others,100,384,1.62,24.12,31.2,
"Keju, Feta",Others,100,264,4.09,14.21,21.28,
"Keju, Fontina",Others,100,389,1.55,25.6,31.14,
"Keju, susu kambing",Others,100,360,0.76,23.52,28.85,
"Keju, Gouda or Edam",Others,100,357,1.67,24.98,27.69,
"Keju, Gruyere",Others,100,413,0.36,29.81,32.34,
"Keju, Limburger",Others,100,327,0.49,20.05,27.25,
"Keju, Monterey",Others,100,373,0.68,24.48,30.28,
"Keju, Monterey, reduced fat",Others,100,313,0.7,28.2,21.6,
"Keju, Mozzarella",Others,100,295,5.58,23.75,19.78,
"Keju, Mozzarella, whole milk",Others,100,300,2.19,22.17,22.35,
"Keju, Mozzarella, part skim",Others,100,295,5.58,23.75,19.78,low
"Keju, Mozzarella, reduced sodium",Others,100,280,3.1,27.5,17.1,
"Keju, Mozzarella, nonfat or fat free",Others,100,141,3.5,31.7,0,
"Keju, Muenster",Others,100,368,1.12,23.41,30.04,
"Keju, Muenster, reduced fat",Others,100,271,3.5,24.7,17.6,
"Keju, Parmesan, dry grated",Others,100,420,13.91,28.42,27.84,
"Keju, Parmesan, dry grated, reduced fat",Others,100,395,26.96,34.21,16.42,
"Keju, Parmesan, hard",Others,100,392,3.22,35.75,25.83,
"Keju, Parmesan, dry grated, fat free",Others,100,370,40,40,5,
"Keju, Port du Salut",Others,100,356,2.22,24.94,27.44,
"Keju, Provolone",Others,100,351,2.14,25.58,26.62,
"Keju, provolone, reduced fat",Others,100,274,3.5,24.7,17.6,
"Keju, Swiss",Others,100,393,1.44,26.96,30.99,
"Keju, Swiss, reduced sodium",Others,100,374,3.4,28.4,27.4,
"Keju, Swiss, reduced fat",Others,100,179,3.4,28.4,5.1,
"Keju, Swiss, nonfat or fat free",Others,100,127,3.4,28.4,0,
"Keju, Cheddar, reduced sodium",Others,100,398,1.91,24.35,32.62,
"Keju, Mexican blend",Others,100,358,1.75,23.54,28.51,
"Keju, Mexican blend, reduced fat",Others,100,282,3.41,24.69,19.4,
"Pork, bagian perut, mentah",Lauk,100,518,0,9.3,53,
"Domba, dimasak",Lauk,100,292,0,24.32,20.77,low
"Irisan daging domba, dimasak",Lauk,100,313,0,24.96,22.89,low
Daging domba kurus,Lauk,100,214,0,29.74,9.65,low
"Domba, bagian lengan atas",Lauk,100,274,0,22.32,19.8,low
"Domba, bagian lengan atas, kurus",Lauk,100,202,0,24.73,10.68,low
"Domba, bagian iga, dimasak",Lauk,100,233,0,27.51,12.84,low
"Domba, bagian iga, dimasak, kurus",Lauk,100,358,0,21.95,29.34,low
"Domba, panggang",Lauk,100,265,0,23.83,18.07,low
"Domba, panggang, kurus",Lauk,100,196,0,26.4,9.18,low
"Kambing, boiled",Lauk,100,142,0,26.87,3,
"Kambing, fried",Lauk,100,153,0,26.46,4.52,
"Kambing, baked",Lauk,100,142,0,26.87,3,
"Kepala kambing, dimasak",Lauk,100,144,0.48,21.82,5.46,
"Kambing, bagian iga, dimasak",Lauk,100,142,0,26.87,3,
"Hati sapi, direbus",Lauk,100,189,5.09,28.84,5.22,low
"Hati sapi, digoreng",Lauk,100,174,5.12,26.3,4.64,low
"Hati ayam, direbus",Lauk,100,166,0.86,24.26,6.46,low
"Hati ayam, digoreng",Lauk,100,189,6.41,19.98,8.66,low
"Jantung (jeroan), cooked",Lauk,100,164,0.15,28.24,4.69,
"Ginjal (jeroan), cooked",Lauk,100,157,0,27.04,4.61,low
"Brains (jeroan), cooked",Lauk,100,150,1.47,11.57,10.44,
"Lidah sapi (jeroan), cooked",Lauk,100,282,0,19.13,22.11,low
"Lidah sapi (jeroan), smoked, cured, or pickled, cooked",Lauk,100,277,0,18.8,21.74,low
"Babat, dimasak",Lauk,100,89,0,12.6,3.85,
"Rahang babi, dimasak",Lauk,100,250,0,26.52,15.96,low
"Ampela sapi, dimasak",Lauk,100,153,0,30.14,2.66,
"Salmon, raw",Lauk,100,127,0,20.5,4.4,low
"Salmon, baked or broiled, made with oil",Lauk,100,188,0.1,25.08,9.06,low
"Salmon, baked or broiled, made with butter",Lauk,100,183,0.1,25.08,8.48,low
"Salmon, baked or broiled, made with margarine",Lauk,100,176,0.13,25.05,7.68,low
"Salmon, baked or broiled, made without fat",Lauk,100,160,0.1,25.82,5.54,low
"Salmon, baked or broiled, made with cooking spray",Lauk,100,164,0.2,25.72,5.92,low
"Salmon, coated, baked or broiled, made with oil",Lauk,100,235,12.52,21.43,10.45,low
"Salmon, coated, baked or broiled, made with butter",Lauk,100,227,12.5,21.44,9.56,low
"Salmon, coated, baked or broiled, made with margarine",Lauk,100,217,12.55,21.4,8.35,low
"Salmon, coated, baked or broiled, made without fat",Lauk,100,194,13.1,22.42,5.07,low
"Salmon, coated, baked or broiled, made with cooking spray",Lauk,100,197,13.14,22.35,5.35,low
"Salmon, coated, fried, made with oil",Lauk,100,253,9.85,20.5,14.08,low
"Salmon, coated, fried, made with butter",Lauk,100,238,9.86,20.57,12.44,low
"Salmon, coated, fried, made with margarine",Lauk,100,222,9.93,20.51,10.58,low
"Salmon, coated, fried, made without fat",Lauk,100,207,11.6,24.12,6.32,low
"Salmon, coated, fried, made with cooking spray",Lauk,100,209,11.64,24.05,6.61,low
"Salmon, Kukus/rebus",Lauk,100,160,0,25.78,5.53,low
"Salmon, dried",Lauk,100,397,0,64.06,13.75,low
"Salmon, canned",Lauk,100,137,0,20.55,5.48,low
"Salmon, smoked",Lauk,100,117,0,18.28,4.32,low
"Tuna, fresh, raw",Lauk,100,109,0,24.4,0.49,low
"Tuna, fresh, baked or broiled, fat added in cooking",Lauk,100,166,0.1,29.85,4.28,low
"Tuna, fresh, baked or broiled, fat not added in cooking",Lauk,100,138,0.1,30.73,0.62,low
"Tuna, fresh, coated, baked or broiled, fat added in cooking",Lauk,100,218,12.52,25.08,6.8,low
"Tuna, fresh, coated, baked or broiled, fat not added",Lauk,100,177,13.1,26.22,1.25,low
"Tuna, fresh, coated, fried",Lauk,100,237,9.85,23.82,10.75,low
"Tuna, fresh, steamed or poached",Lauk,100,137,0,30.68,0.62,low
"Tuna, fresh, dried",Lauk,100,341,0,76.25,1.53,low
"Tuna, fresh, smoked",Lauk,100,200,0,25.54,10.04,low
"Tuna, canned, oil pack",Lauk,100,198,0,29.13,8.21,low
"Tuna, canned, water pack",Lauk,100,86,0,19.44,0.96,low
"Gurita, dimasak",Lauk,100,222,12.16,16.3,11.63,low
"Gurita, steamed (kukus)",Lauk,100,163,4.37,29.62,2.07,low
"Gurita, dried",Lauk,100,311,8.34,56.52,3.94,low
"Gurita, dried, boiled",Lauk,100,163,4.38,29.69,2.07,low
"Gurita, smoked",Lauk,100,164,4.4,29.82,2.08,low
"Cumi-cumi, raw",Lauk,100,92,3.08,15.58,1.38,low
"Cumi-cumi, baked or broiled, fat added in cooking",Lauk,100,142,3.77,18.59,5.23,low
"Cumi-cumi, baked or broiled, fat not added in cooking",Lauk,100,113,3.88,19.14,1.7,low
"Cumi-cumi, coated, baked or broiled, fat added in cooking",Lauk,100,198,15.01,16.42,7.44,low
"Cumi-cumi, coated, baked or broiled, fat not added in cooking",Lauk,100,156,15.7,17.17,2.06,low
"Cumi-cumi, coated, fried",Lauk,100,231,12.94,16.89,11.93,low
"Cumi-cumi, steamed or boiled",Lauk,100,183,6.13,31.02,2.75,low
"Cumi-cumi, dried",Lauk,100,348,11.65,58.94,5.22,low
"Cumi-cumi, pickled",Lauk,100,93,2.96,14.93,1.32,low
"Cumi-cumi, canned",Lauk,100,106,3.54,17.9,1.59,low
"Oysters (Tiram), raw",Lauk,100,51,2.72,5.71,1.71,low
"Oysters (Tiram), cooked",Lauk,100,195,12.62,8.16,12.22,low
"Oysters (Tiram), baked or broiled, fat not added in cooking",Lauk,100,63,3.44,7.02,2.1,low
"Oysters (Tiram), steamed",Lauk,100,102,5.42,11.37,3.4,low
"Oysters (Tiram), coated, fried",Lauk,100,195,12.62,8.16,12.22,low
"Oysters (Tiram), coated, baked or broiled, fat added in cooking",Lauk,100,160,14.69,7.43,7.74,low
"Oysters (Tiram), coated, baked or broiled, fat not added in cooking",Lauk,100,117,15.36,7.77,2.38,low
"Oysters (Tiram), canned",Lauk,100,74,4.25,7.67,2.68,low
"Oysters (Tiram), smoked",Lauk,100,82,4.38,9.2,2.76,low
"Scallops (kerang), baked or broiled, fat added in cooking",Lauk,100,114,3.89,14.39,4.17,low
"Scallops (kerang), baked or broiled, fat not added in cooking",Lauk,100,85,4,14.81,0.6,low
"Scallops (kerang), steamed or boiled",Lauk,100,137,6.33,24.01,0.98,low
"Scallops (kerang), coated, fried",Lauk,100,211,13.03,13.78,11.14,low
"Scallops (kerang), coated, baked or broiled, fat added in cooking",Lauk,100,177,15.1,13.21,6.63,low
"Scallops (kerang), coated, baked or broiled, fat not added in cooking",Lauk,100,134,15.8,13.82,1.22,low
"Almonds, mentah",Snack,100,598,21.01,20.96,52.54,low
"Almonds, unroasted",Snack,100,579,21.55,21.15,49.93,low
"Almonds, salted",Snack,100,601,20.18,20.13,53.43,low
"Almonds, lightly salted",Snack,100,604,20.28,20.23,53.7,low
"Almonds, unsalted",Snack,100,607,20.38,20.33,53.96,low
"Almonds, flavored",Snack,100,599,20.12,20.07,53.27,low
"Almonds, honey roasted",Snack,100,575,35.92,14.11,45.27,moderate
Kacang Brazil,Snack,100,659,11.74,14.32,67.1,low
"Kacang metes, unroasted",Snack,100,574,32.69,15.31,46.35,low
"Kacang metes, salted",Snack,100,578,31.4,14.7,47.48,low
"Kacang metes, lightly salted",Snack,100,580,31.55,14.78,47.72,low
"Kacang metes, unsalted",Snack,100,583,31.71,14.85,47.96,low
"Kacang metes, honey roasted",Snack,100,558,43.79,10.31,41.11,moderate
Kacang Kastanye (Chestnuts),Snack,100,245,52.96,3.17,2.2,low
Hazelnut,Snack,100,628,16.7,14.95,60.75,low
Macadamia,Snack,100,716,12.83,7.79,76.08,
"Peanuts, raw",Snack,100,587,21.26,24.35,49.66,
"Peanuts, boiled",Snack,100,318,21.26,13.5,22.01,
"Peanuts, unroasted",Snack,100,567,16.13,25.8,49.24,
"Peanuts, roasted, salted",Snack,100,599,15.26,28.03,52.5,
"Peanuts, roasted, unsalted",Snack,100,599,15.26,28.03,52.5,
"Peanuts, dry roasted, salted",Snack,100,587,21.26,24.35,49.66,moderate
"Peanuts, dry roasted, lightly salted",Snack,100,584,21.15,24.23,49.41,moderate
"Peanuts, dry roasted, unsalted",Snack,100,587,21.26,24.35,49.66,moderate
"Peanuts, honey roasted",Snack,100,572,30.07,20.7,45.21,moderate
"Pecans, salted",Snack,100,690,13.31,8.81,72.09,
"Pecans, unsalted",Snack,100,697,13.44,8.9,72.81,
"Pecans, honey roasted",Snack,100,637,31.11,6.17,58.36,moderate
kacang pinus (Pine nut),Snack,100,673,13.08,13.69,68.37,low
"Kacang Pistachio, raw",Snack,100,572,28.28,21.05,45.82,low
"Kacang Pistachio, salted",Snack,100,576,27.16,20.22,46.98,low
"Kacang Pistachio, lightly salted",Snack,100,579,27.3,20.32,47.21,low
